WKT,OBJECTID,LENGTH
"MULTILINESTRING ((775085.745019678 78779.7191269374,775061.578046243 78777.26742763,775059.012347829 78791.9826113))","1361",
"MULTILINESTRING ((742219.813963884 70203.9828506276,742223.926958782 70211.2904427777,742231.489349204 70227.4349253264,742188.388395397 70250.4280965379,742177.950211209 70192.6822601747,742176.61601277 70191.5783613079,742193.43069507 70178.1977774579,742191.317798411 70164.5958924719,741992.739948854 69754.482035381,741980.262962952 69751.1576381815,741974.033170724 69739.4269508099,741999.985242893 69725.7255679784,742001.208741688 69723.6215704134,742000.32254276 69722.4064717048))","1410",
"MULTILINESTRING ((771095.938302116 82089.3246648762,771100.842797355 82082.1408731788,771129.591868494 82051.3982093568,771175.580317646 82057.9517060264,771302.979576821 82075.7241972222,771347.651730262 82048.4212309585,771370.493508081 82015.1344694308,771417.782766312 81896.7815033595,771505.147479497 81792.9442247052,771652.193823936 81730.7476053328))","1411",
"MULTILINESTRING ((775484.918302706 79765.1230807538,775482.136705772 79764.6856810012,775481.02830736 79760.1411858851,775479.469809132 79759.2593867211,775451.510839519 79760.5703829622))","1414",
"MULTILINESTRING ((761991.255849096 91823.0919521228,761989.695750608 91825.4091494224,761989.031951161 91827.402347161,761985.688954624 91829.8297441797,761970.542071621 91826.1766468662,761964.308878741 91823.2890495004))","1416",
"MULTILINESTRING ((769998.8686334 84087.8064762632,769999.318933652 84079.0668859072,770002.334831707 84063.1379036728,769999.217635287 84061.1448055976,769995.543339413 84059.925806626))","1418",
"MULTILINESTRING ((772467.755332097 84094.2866799217,772483.906114696 84091.3099845699,772503.600191445 84111.4622641359,772494.961690437 84233.5928293466,772529.898247528 84288.703971847,772538.139638348 84290.7023703608,772542.926032775 84294.6832664023,772684.429272181 84363.8017026674,772688.754468052 84356.8252106944,772690.670466223 84353.7347142511,772747.118901904 84384.3030855423,772775.844769529 84395.7160754807,772780.856663916 84397.2675742076,772812.033328247 84415.8685564684,772809.915030668 84414.6525576204,772811.927129245 84405.5846677441,772818.829022214 84399.6167748851,772849.603893956 84336.9018463478,772854.516090285 84317.0974685012,772855.971990078 84300.9537863421,772865.585484973 84237.8929563684,772910.966643163 84146.9776600205,772945.498707251 84125.6506863801,772954.304198064 84120.564692713,772958.644093208 84121.8932916274,772976.460473187 84128.3203860995,772978.801870382 84131.1963831442,772982.35786641 84132.199782347,772984.364064103 84133.5270810635,773009.75013569 84141.3957746021,773041.454195898 84201.4849113854,773060.037172405 84238.6713721746,773061.929870003 84242.5392680914,773089.510735144 84297.6557099795,773093.632930078 84304.1864031673,773099.077423075 84316.4670901589,773133.381985483 84317.7013917467,773143.734474217 84317.1508932386,773162.786953436 84316.7258953378,773175.258739866 84316.0653971328,773253.996953769 84316.7779031041,773261.674844675 84324.9704947744,773271.695032921 84334.3790853108,773278.588724685 84342.5711769138,773279.567219165 84394.454820075,773253.004740422 84484.9359185249,773254.994835681 84514.8055859239,773262.562226975 84519.9008809838,773360.310115082 84579.1471243825,773370.33220363 84585.0135188075,773377.125995919 84588.3371157452,773389.146282339 84593.5462110638,773400.390169367 84601.5183032832,773401.28496821 84603.6145010613,773388.91478148 84606.4913968421,773392.02397678 84621.6453804831,773406.809056229 84672.7673256718,773449.824996842 84816.729371435,773450.717295295 84823.3600642376,773434.12880737 84893.5997857511,773418.042124317 84900.9022763535,773418.730023446 84902.3310748449))","1422",
"MULTILINESTRING ((770255.528497339 83560.2444779223,770217.453640872 83538.3183987845))","1451",
"MULTILINESTRING ((769526.565705695 81056.7256680792,769540.593590005 81060.7205648571,769539.02639045 81075.9828479511))","1474",
"MULTILINESTRING ((764317.35364987 95579.2303131668,764287.854883166 95569.9208207376,764287.071184086 95569.2619213931,764283.286387581 95576.557112991))","1475",
"MULTILINESTRING ((733322.955972059 76939.3486538975,733336.319957114 76939.5676546711))","1476",
"MULTILINESTRING ((770541.468192723 84635.2899209092,770548.929884597 84634.8516220313,770552.382680872 84634.1898230532,770555.604776219 84647.3567088595,770558.942672101 84652.7795031881))","1479",
"MULTILINESTRING ((771732.666292925 84595.3648668495,771737.231987886 84595.9206666288,771741.909282741 84596.2551666645,771741.132784068 84590.7231726714,771743.921181642 84583.4230809283,771746.82047904 84576.7868884632))","1480",
"MULTILINESTRING ((771805.41061665 84557.1278150747,771805.076617025 84557.017015168,771802.849119443 84557.2370147355,771785.255339007 84553.4655173682))","1494",
"MULTILINESTRING ((741786.703771692 69837.5682277307,741787.151871218 69837.2439281261,741783.700075286 69834.0346314546,741773.347686459 69838.5639256481,741767.778193065 69832.8041316681,741764.773796546 69830.818833665,741763.87699743 69832.3668318736,741681.971595288 69737.8678313276,741680.858797805 69720.2799508656,741717.630161619 69656.0363251974,741772.233508212 69556.0594406746,741767.111714278 69550.8654460956,741770.015911315 69547.2138503801,741767.678114763 69535.484763293,741761.22192233 69530.0676688657,741790.306993801 69477.8733291912,741808.231473103 69488.7189183939,741810.452070517 69490.3794167036,741795.863885007 69514.0427892532))","1508",
"MULTILINESTRING ((736780.938565417 74928.8370685941,736737.073715792 74909.2467872162))","1521",
"MULTILINESTRING ((773860.996063332 84634.6370065686,773862.099260966 84648.1392918545,773865.327157153 84651.4609884884,773888.036530615 84671.6058683476,774038.74376975 84628.0993290327,774048.757058354 84633.418724062,774049.31765783 84632.4267251974))","1523",
"MULTILINESTRING ((769015.231534302 90695.366922775,769051.776697185 90662.4238622964,769070.042076855 90665.8659601386,769195.700445878 90590.2659545596,769206.958735058 90573.2385743025,769207.970534493 90567.1562810864,769210.641531765 90564.9415837617))","1524",
"MULTILINESTRING ((766945.638100063 90742.0244867783,766942.40480306 90748.2167796655,766933.155712008 90761.71236397,766882.670062348 90818.5422968463,766845.023302005 90837.2134729144,766841.192006164 90837.7247720087,766836.832410764 90839.7964693383))","1528",
"MULTILINESTRING ((768036.56939099 91993.9961052149,768035.114892824 91991.343208007,768031.997396254 91991.23000785,768027.552502256 91978.7276212203,768026.666203286 91978.0594218768,768034.798094624 91975.1898257698,768034.238595317 91974.308626689))","1532",
"MULTILINESTRING ((765286.673452269 91519.7287813005,765297.695239883 91522.8323788605))","1533",
"MULTILINESTRING ((763558.703802158 89820.8192027852,763559.149401687 89820.5982030682,763559.371901416 89820.9302027212,763580.647678938 89810.5439160627,763580.319680202 89800.2555273914,763517.306852012 89771.5666535132,763514.633454836 89772.8925518154,763507.617362472 89773.7734502244,763508.396361548 89774.5483494384,763510.175459191 89779.0849445853,763514.958653135 89788.1590349899))","1535",
"MULTILINESTRING ((766028.781665529 97769.6175539837,766022.553173336 97759.3301647535,766006.089394344 97728.1170976538,766019.351980967 97715.2922130446,766000.98860338 97691.3847377085))","1536",
"MULTILINESTRING ((709664.092583636 71315.5711753628,709705.293639275 71283.1892150217,709732.465810088 71260.8596422839,709745.383796087 71252.0118532335,709754.176486624 71245.0536617523,709766.543373117 71238.0874705261,709776.343462416 71232.5571774928,709782.467255948 71225.9317854447,709799.390037702 71212.9976013162,709824.003411071 71195.5335228698,709836.251498163 71181.9303391763,709855.403977309 71170.2207538117,709867.212364728 71159.0552673168,709898.163331189 71137.8300935836,709929.012397891 71114.8435218409,709970.773552956 71081.6739624236,709989.263732885 71069.5190775166,710064.207052045 71012.9279470092,710097.614616175 70985.2891807232,710150.959958841 70942.0661335237,710185.252421697 70918.4134627702,710229.793873466 70887.4694010089,710240.159563227 70866.1253259679,710254.747147194 70859.3825346394,710283.366816559 70834.4021649972,710335.813759746 70798.3720095562,710369.219823607 70774.7189387375,710384.480607047 70764.6579512219,710397.286793216 70755.2631627798,710398.734291778 70752.3901661428,710442.939743941 70721.3254044876,710473.340211042 70699.9979308146,710511.870669362 70672.6946644929,710629.919942204 70581.3859763556,710696.620570133 70533.0880358171,710711.871853538 70523.6848475497,710758.982202937 70485.2238944803,710897.293453488 70385.1906176256,710918.443830547 70371.1455350345,710999.293742952 70316.1043031141,711042.613896352 70281.8411450054,711121.123411732 70222.1456181948,711134.489097174 70214.1879281526,711314.217803409 70078.3421947587,711326.585089966 70070.5973044041,711352.524361978 70051.3722280154,711380.927931296 70030.80405332,711430.594777741 69993.4469991447,711451.858854985 69974.9895215593,711598.865697136 69854.9362679359,711622.808671498 69834.3756929176,711672.250517989 69800.114535202,711731.487152789 69774.9133678845,711999.901249556 69774.0197874347,712057.234884852 69772.937792622,712146.416584026 69773.9622976226,712609.987859526 69786.0809159224,712621.904746173 69784.5373184965,713006.542711302 69791.5290371791,713017.124499305 69792.2004371515,713255.592629627 69798.1466469196,713436.838624479 69805.6293509897,713643.684691061 69804.3708667454,713887.612315269 69810.9869761549,713899.74320154 69811.5475763609,714626.621180267 69826.5279098185,714689.638309178 69826.4401142931,714883.242190508 69830.2662234063,715170.816165733 69836.1297367455))","1540",
"MULTILINESTRING ((765555.134153454 91563.369657167,765555.587853788 91554.078667456,765555.254454531 91549.8778720593))","1556",
"MULTILINESTRING ((769949.143627382 85957.7566163401,769976.421396453 85970.0496051825,769988.904384591 85949.1557292314,769987.473088497 85922.0501589083,769961.52971792 85910.3050695814))","1563",
"MULTILINESTRING ((770389.291233698 86094.2012044087,770392.293029817 86101.055597134))","1564",
"MULTILINESTRING ((777498.438381113 78884.0184121465,777542.324633603 78880.4998196294))","1566",
"MULTILINESTRING ((777519.255557006 78901.2875949833,777542.324633603 78880.4998196294))","1567",
"MULTILINESTRING ((771443.627286072 86022.6752742983,771441.839287271 86031.4094645493,771456.209770811 86039.9396564224,771568.318542562 86104.609495102,771573.645534881 86125.9682721029,771623.129169701 86253.3338364962,771630.901857942 86290.8383959754,771632.553653263 86323.9254597769,771633.762648481 86363.7537161324,771638.653843112 86363.9698163205,771635.210847099 86361.4270188147,771644.673236296 86366.6346139154,771641.873238042 86381.7851970317))","1592",
"MULTILINESTRING ((775804.592331296 77616.449559735,775804.468928247 77655.3879170979))","1593",
"MULTILINESTRING ((773056.851640709 78699.6373477135,773046.045753109 78692.3336548343,773037.256963427 78683.5844637071,773006.184497872 78677.3734679646,772898.32520634 78790.9392345635,772903.881299098 78805.2135193655,772910.110091259 78817.8283060417,772855.199049245 78842.0295749862,772662.365952153 78935.9651561004,772648.000668009 78933.9636571143))","1594",
"MULTILINESTRING ((774811.229304486 78957.4692095864,774795.861520889 78961.8843034809,774800.302914291 78983.1315805721,774798.396814652 79003.9302576288,774785.006724393 79062.8820919431,774784.77792392 79071.6266823443,774780.538328309 79074.4989788458))","1595",
"MULTILINESTRING ((777565.488930112 76174.6985804751,777581.289610887 76199.5966545333))","1596",
"MULTILINESTRING ((763283.889060186 86884.0066207779,763283.219661331 86879.2494259699,763268.745477683 86874.150630351,763094.394875192 86806.4555900576,763103.210867632 86781.6844181623,763080.384293435 86773.4839252503))","1597",
"MULTILINESTRING ((736028.640665463 75442.69833656,736030.970562886 75442.4159370527,736029.859264715 75434.610645708,736079.697509619 75428.1398567208,736093.729694367 75422.9028636455,736096.177091655 75422.6713640881,736099.206988327 75422.0034650654,736098.558389224 75419.6947676021,736132.722751658 75412.6171781087,736148.167828552 75490.4377921409,736166.027207988 75498.9706839396,736209.220461424 75477.7378109792,736234.885028813 75530.5222538222,736234.752727203 75553.739427817,736181.503084287 75584.0811898126,736184.41578066 75589.1274843842,736177.007388636 75592.897779601,736174.009692307 75588.5876842003,736147.982520229 75603.1496659259,736146.535221708 75604.9197638333,736119.182651028 75620.5997442057,736072.113201526 75646.9522111345,736071.478201947 75650.7622068211,736050.867924055 75662.3943922337,736033.296942966 75671.4122808047,735984.898695051 75696.4381491157,735958.606923282 75710.849130987,735950.113732613 75712.7541282089,735942.061841349 75715.9877239789,735939.71564444 75709.7379307991,735789.710006097 75784.4695357442,735783.042414413 75772.8807482182,735773.199925001 75778.0401416935,735782.248713513 75796.4551217553,735755.499342364 75809.4727051495,735714.087787026 75829.7058793484,735691.366611462 75841.7481641394,735672.21193214 75850.8158525322,735560.063252898 75908.2736796711,735553.83006002 75906.0643816735,735519.310097225 75923.3023597476,735502.93991539 75924.6207570303,735469.963549901 75954.690220846,735281.419853078 76049.503500329,735143.890002774 76099.2180341952,735142.99650419 76093.6922403175,735134.53981341 76096.5623364609,735135.87091132 76104.5266276383,735123.725724294 76112.1513181739,734919.046147092 76186.273819583,734914.598152693 76177.8724286602,734906.467561475 76181.734823714,734907.022459982 76193.2403108634,734786.306991949 76229.6861608566,734694.100091631 76272.3375060562,734662.802225628 76284.7095898122,734612.465679249 76318.5352480788))","1625",
"MULTILINESTRING ((772848.281984734 80918.1478972342,772870.771359006 80931.9864839329))","1637",
"MULTILINESTRING ((771298.612125857 88526.7237104341,771296.159928229 88530.2625063285,771283.229540592 88550.5002829488,771166.093171807 88516.3563101398,771098.659053536 88426.4839029633,771082.063271351 88430.4567971348,771077.829075644 88434.3263925077,771096.634552788 88460.1145658244))","1641",
