WKT,OBJECTID,LENGTH
"MULTILINESTRING ((773291.47719067 82226.7238990655,773305.61447447 82235.6988904142,773301.498078994 82235.3627904345,773345.710331089 82230.7415992376,773401.809765147 82285.9756433941,773404.473761368 82296.2703323283,773470.74989023 82281.368154272,773511.529447866 82255.6115859656,773523.098434278 82266.9034745586,773538.818018497 82250.4338939492,773546.61561045 82244.9022006744,773548.17600897 82242.2510037142,773587.812064303 82258.5287892124,773617.533130291 82276.9154715581,773702.156034003 82322.6513285557,773753.036076413 82346.5766066218,773820.717698867 82389.5396652367,773829.850988058 82399.392855205,773825.815989273 82437.1138135002,773844.733266535 82461.6888881554))","12481",
"MULTILINESTRING ((721515.252913999 71375.1658434731,721515.459210574 71419.950092951))","12485",
"MULTILINESTRING ((771724.239074921 83743.9393010682,771720.002478347 83758.0967851606,771719.216078868 83762.0837807152,771718.551379293 83765.6256767711,771706.746092666 83760.1942817281))","12487",
"MULTILINESTRING ((775405.917381892 79849.0585822593,775407.365780554 79846.1753855385,775359.054937187 79798.7999334065,775376.328220331 79774.9122610059,775378.112918623 79772.0384643021))","12488",
"MULTILINESTRING ((775402.385590979 79786.1006509187,775402.161691241 79785.8779511422,775382.456114254 79767.6174695043,775381.234715816 79764.8441724411))","12489",
"MULTILINESTRING ((715840.98863284 75129.4066901896,715848.784524747 75119.7876016534,715871.488597439 75143.0177769991,715865.802003209 75151.8682665612,715872.368695302 75158.7213592789,715880.722686273 75153.3110660163))","12492",
"MULTILINESTRING ((772050.10609385 79266.9738425576,772051.00179282 79267.6421418974,772062.136780423 79270.4114397769))","12493",
"MULTILINESTRING ((776447.840641117 77482.476258979,776468.878916288 77505.7263352577))","12494",
"MULTILINESTRING ((773370.717444276 84106.3077440103,773375.164438554 84116.3808333409,773371.933741961 84117.816331489,773369.926644135 84118.0377310747))","12498",
"MULTILINESTRING ((778654.028971032 78300.9287452342,778643.782581311 78311.5413327894,778652.682770771 78321.8398222688))","12512",
"MULTILINESTRING ((765172.030688581 86850.0106212079,765174.587485661 86851.3380199652,765174.148186057 86852.3300188343,765169.695690916 86852.6612180841,765161.776499058 86859.0734103302,765156.321904533 86865.0418032776,765153.96330474 86892.589372699,765108.841851475 86925.1940328495,765088.685873094 86931.1633245252,765057.832806442 86937.3398150478,764997.585271913 86945.3819009712,764910.257165387 86973.539362373,764906.588669398 86973.7597618134,764903.364373741 86964.4667717808,764901.469275776 86965.012771015))","12515",
"MULTILINESTRING ((763931.874014073 96228.8088603093,763933.773212637 96221.7258683072,763927.877420989 96201.4801901261,763931.78011685 96199.8228923176))","12516",
"MULTILINESTRING ((764531.964880015 86983.9408182088,764533.636978387 86981.5123210316,764534.748977356 86979.2968235707,764534.077978256 86977.4140255892,764532.632380007 86975.5309275429,764535.201977603 86970.6736331217,764549.256165959 86926.7573827751,764530.445787721 86914.0247951951,764523.449098826 86874.4175382785,764558.329864613 86826.8691937356,764607.022414797 86784.3079448805,764631.533189169 86769.2723635795,764641.224178841 86765.6245684379))","12528",
"MULTILINESTRING ((775692.109268351 78658.6764094832,775683.663779401 78636.3233332616,775716.070944885 78626.3813468176,775733.425221729 78677.7272920326,775711.584344588 78689.3350775221))","12529",
"MULTILINESTRING ((767805.813142208 92015.3218609528,767825.170719358 92033.257842939,767835.652009073 92019.7632587473,767853.71049152 91994.6635880205,767871.973272203 91986.7093984266,767884.125560114 91972.8911147396,767900.483941491 91980.4212079185,767900.045041954 91980.6436076342))","12531",
"MULTILINESTRING ((775467.266932331 78430.4247408878,775454.564145093 78443.6971253083))","12539",
"MULTILINESTRING ((773919.264323741 80814.2942006328,773922.623022766 80782.1018362059))","12541",
"MULTILINESTRING ((773609.231248172 80982.8392899083,773590.865069711 80965.1280077938))","12542",
"MULTILINESTRING ((772579.347860714 86979.0816227942,772565.420074918 86990.8004087104,772534.445806672 87015.0105794235,772489.015457432 87002.5931890864,772439.20890809 87046.1529369068,772436.538311347 87042.2792409265,772426.521023153 87032.5377507476,772396.003456063 87037.8301422681,772362.038193447 87035.0444423601,772305.923556932 87010.7831640956,772293.445569846 87019.1838537814,772262.612605895 86992.5034803847,772088.263504185 86905.3342608873,772069.119226737 86886.8475795182,771951.837369709 86718.2871544101,771904.309225475 86674.8918979279,771871.579363059 86654.4059175774,771864.78036965 86664.1375062969,771858.101577434 86658.6021117951,771863.22917253 86650.5290211078,771786.301160591 86605.567763794,771732.517920438 86593.9201719054,771670.592887383 86603.066456469,771628.707331434 86623.3982304911,771600.623059175 86657.6775903917,771584.464775343 86675.037269916,771522.17433801 86737.9500953801,771434.288131425 86769.4287531447,771425.153341014 86774.0699472513))","12549",
"MULTILINESTRING ((772565.739509632 80724.0568865796,772563.844811721 80723.8331866673,772563.622812279 80720.0681907784,772563.623212351 80719.1871917458,772562.289613992 80716.970294067,772561.170715428 80714.4287967616,772558.616818801 80707.4541042008))","12550",
"MULTILINESTRING ((772025.628386835 80880.5234698376,771988.552329024 80860.5940886187))","12554",
"MULTILINESTRING ((763928.707072353 88944.6598024055,763894.967609826 88940.2152043549))","12570",
"MULTILINESTRING ((763927.929573507 88941.2299061213,763895.413609425 88939.2198054926))","12571",
"MULTILINESTRING ((776056.52103343 81507.7079203478,776076.002210628 81526.2004017414,776085.565998072 81551.4290749235,776106.927955546 81779.2392272758,776137.055214724 81873.5098265971,776133.375417052 81893.4267044767,776123.866720917 81970.3155194788,776119.833622443 82004.2720819538,776139.977697536 82039.0210456081,776133.618602755 82059.2703228957))","12572",
"MULTILINESTRING ((775633.721488979 81573.9618121463,775636.939683705 81594.8747895111,775630.895185335 81653.7288245399,775628.969482785 81708.8294640261))","12573",
"MULTILINESTRING ((771596.412024106 80061.4003332099,771613.120205684 80063.2917325175))","12575",
"MULTILINESTRING ((766687.633496901 97177.7481683809,766671.256314147 97185.702958082))","12590",
"MULTILINESTRING ((769763.573759418 85623.5489677827,769759.903564172 85615.0283768351))","12604",
"MULTILINESTRING ((738941.122108091 72938.2867565246,738944.351204464 72938.7330562659,738961.278685199 72944.3865512067))","12609",
"MULTILINESTRING ((773259.494122452 82264.1045553625,773241.909743447 82242.9613770683,773275.222709425 82214.882410681,773295.152186208 82232.0394935438))","12615",
"MULTILINESTRING ((769043.184802911 86151.3920251044,769043.296902788 86151.3920251141,769049.87319631 86142.9853349295,769056.110989828 86138.8996399635))","12620",
"MULTILINESTRING ((768353.454768896 91710.8684455234,768351.560771091 91709.5411468153,768353.455869074 91708.8839477078,768349.784273985 91699.0340582247,768382.087239481 91688.7609724403,768382.534938931 91689.4287717449,768381.748939515 91692.5255682657))","12621",
"MULTILINESTRING ((763000.350224597 98539.0659209836,762965.271662929 98542.140414302))","12623",
"MULTILINESTRING ((729706.240553683 77769.0381464865,729671.05559274 77773.4447388487))","12638",
"MULTILINESTRING ((733991.561258457 75180.2487770518,733993.230556376 75183.1234739554,734007.138539616 75199.5017566406,734019.712424479 75214.0996412211,734019.600224571 75214.5446407146))","12640",
"MULTILINESTRING ((773379.547706473 84434.6737845333,773365.955519814 84452.2570640762))","12646",
"MULTILINESTRING ((731228.462520262 75523.9122839434,731224.122925123 75523.7991837434,731223.673825425 75526.4502807333,731220.431826785 75556.6435465897,731219.991527005 75560.2959424556))","12650",
"MULTILINESTRING ((771689.682258329 83207.4706871803,771692.915955403 83200.2813953477,771695.59045274 83197.1852989731,771699.156549196 83192.98330389))","12652",
"MULTILINESTRING ((773059.913398018 77959.1826598903,773106.926048471 77937.2949877283))","12670",
"MULTILINESTRING ((769077.990308184 91335.7322235836,769091.590195976 91305.6407579227))","12673",
"MULTILINESTRING ((738118.557607488 70439.0811894448,738118.44570762 70438.9698895605,738119.108106858 70439.3039892361,738120.115505633 70440.7413877028,738127.90709671 70444.1748844297))","12675",
"MULTILINESTRING ((768530.797796828 86931.0347229071,768537.486990351 86921.190834321,768542.057186201 86911.3456455536,768512.440220244 86893.0797630819,768493.722338992 86913.4227390692))","12679",
"MULTILINESTRING ((762131.913862913 92174.294676529,762161.762829924 92175.7497775899,762165.778727258 92156.1688995888))","12680",
"MULTILINESTRING ((774672.448081442 82242.0992989315,774637.91761904 82243.1927948103,774621.550836494 82248.0427881104,774596.370263316 82255.8924773759))","12681",
"MULTILINESTRING ((719670.592636456 72105.7070869701,719669.472637677 72106.2629862618,719668.362138925 72106.2623861821,719667.140340435 72104.3800882226,719665.806041961 72104.0459885041,719664.247943785 72103.0533895146,719663.912244202 72102.4969901187,719659.676449135 72100.1685924468))","12689",
"MULTILINESTRING ((766615.310062146 94076.5859814688,766608.302370175 94072.9281848627))","12698",
"MULTILINESTRING ((770918.193009301 87763.9199152767,770956.835166752 87766.8190154791))","12709",
"MULTILINESTRING ((766081.427176683 92662.4327923624,766104.693849263 92683.1342716334,766116.615637837 92664.6704930698,766115.954138743 92662.6762952085))","12723",
"MULTILINESTRING ((770009.506998338 83186.0667682869,770009.171998573 83187.6154665572,770003.936104051 83190.5995628335,770006.60340029 83200.5577521151,770007.38259938 83201.2219514513))","12724",
"MULTILINESTRING ((763501.433561058 88727.3648048686,763531.606427023 88737.2278966179))","12725",
"MULTILINESTRING ((768582.253026959 91611.1116759255,768599.299009867 91593.3089970571,768599.971509189 91592.6510978422))","12728",
"MULTILINESTRING ((773660.959873741 77567.747038048,773687.472446469 77547.2951626248))","12733",
"MULTILINESTRING ((772090.333296046 83492.3501084629,772102.81128313 83483.8385188671,772096.24569108 83474.7630282733,772093.351194405 83472.8807300928))","12736",
"MULTILINESTRING ((729937.679703765 76329.8702815186,729935.891804809 76342.588867093,729936.220503197 76359.0627486043,729953.148684108 76360.9520477585,729992.110640364 76362.7397486881,729993.329838425 76370.3699402067))","12743",
"MULTILINESTRING ((724170.21700923 67432.247974968,724170.182109272 67432.2251749912,724170.166809292 67432.2129750042,724169.152810494 67431.2772759886,724169.159910484 67431.2988759634,724151.286133531 67387.9398235669,724151.302233514 67387.9384235698,724150.313134692 67386.9426246214,724117.377373903 67354.1316593057,724067.713932986 67305.3263108511,724046.06005723 67306.0775085105,724039.780464773 67298.8498162202,724028.521978296 67285.8924300395,724028.515678302 67285.9279299982),(724028.521978296 67285.8924300395,724026.82998033 67283.9643320933,724022.465585676 67277.4217391618,724022.708785408 67277.3631392455,724023.346684733 67276.7573399712,724024.206683825 67275.9584409309,724024.391183625 67275.8454410714),(724025.092882327 67283.2280328041,724025.434381909 67283.7158322767,724025.757481518 67284.1649317936,724026.638880561 67283.6779324032,724025.346282145 67281.7646344691,724023.970983832 67279.6785367233,724023.161284695 67280.3484359126,724023.317184494 67280.7221355034,724023.749583984 67281.082135129))","12747",
"MULTILINESTRING ((774771.586614196 81757.1579387576,774779.980605496 81751.6917454557,774776.25991017 81744.4166531138))","12749",
"MULTILINESTRING ((766084.324073991 92657.0192985932,766108.477345577 92677.9439776977,766118.1762364 92661.5743966235,766117.728636955 92660.9063973202))","12751",
"MULTILINESTRING ((720669.633539565 73120.8258122025,720733.320567276 73129.917406538))","12767",
"MULTILINESTRING ((764090.345487165 87884.8508860382,764137.103133398 87912.3059598091))","12776",
"MULTILINESTRING ((773929.082715758 80781.5522373466,773924.96262034 80780.5542380964,773926.187118919 80781.5506371076,773924.404920809 80782.2134362309,773922.623022766 80782.1018362059,773924.071421267 80781.1069374163,773913.267332877 80783.3136340946,773882.081766604 80787.1687272624,773878.381566815 80832.9687767409,773859.336987545 80833.7327743111,773729.241727168 80862.7579316113,773715.763141442 80868.0609246712,773712.755544634 80869.1655232077))","12777",
"MULTILINESTRING ((769451.225039788 89759.7007912237,769450.003341283 89757.9289930647,769418.823776453 89746.6252027336,769381.181916886 89755.7919893066))","12779",
"MULTILINESTRING ((773998.031137472 75943.1661456331,774025.766907458 75940.0832512434,774035.349997845 75929.5815635198,774076.893052899 75924.8458720528,774107.630318924 75930.2773685779,774128.445894528 75951.1990473339,774140.797579832 75966.3577317206,774149.349767798 75999.8845956795,774155.019559222 76029.5430636435,774157.667852981 76071.1438182821,774158.639846273 76141.1752416375,774177.330023222 76174.1510070189,774181.22041862 76178.5762024854,774191.793405074 76203.4709760645,774216.381773871 76257.6945186464,774233.979954947 76254.2819238039,774237.202751779 76249.9623287976))","12790",
"MULTILINESTRING ((764658.803422422 90618.3056198703,764639.663745584 90594.2883446721))","12795",
"MULTILINESTRING ((771032.907573473 80865.3789037153,771033.346973112 80863.9418053295,771038.364468344 80855.3206152156,771042.386165142 80840.940431341,771040.941267026 80837.2862352335))","12797",
"MULTILINESTRING ((762315.453346717 90080.947605971,762312.998549409 90081.0576056348,762312.550449884 90081.2706053593,762310.992051657 90080.611305951,762309.657153105 90080.8331055878,762306.540056614 90079.9410062979,762294.957569514 90078.1633072428))","12800",
"MULTILINESTRING ((776620.651895309 78183.3340062437,776621.783997348 78143.5056499182))","12801",
"MULTILINESTRING ((732714.171258073 76863.5310925944,732712.515762491 76829.7940303233,732687.24269066 76830.7840272903))","12802",
"MULTILINESTRING ((766338.466462502 90787.2360828685,766334.115265682 90805.1575627247,766275.375521897 90898.0531550874,766153.617549624 90964.9010705396,766135.879864523 91016.2239123768,766128.468364316 91109.8086085375,766143.366743937 91154.845660214,766153.730532982 91150.0949663761,766156.506129045 91160.0555556438,766143.807842426 91166.3533475661,766164.816113373 91233.4072755136,766142.727532884 91286.4893150175,766100.061677068 91316.3402782933,766096.38228084 91319.3238746752,766080.119098254 91324.2933677444,766033.352349236 91328.4657589643,766032.568050058 91328.910458403,766008.155873595 91365.5136158625,765935.400347209 91435.8214318342,765914.784967631 91460.5949026747,765899.695476467 91547.0903059463,765909.116359587 91620.1181262603,765989.580063388 91707.5614370425,765995.362956415 91714.5287298798,766006.042243446 91728.3701155734,766059.127779923 91786.6993560144,766073.706962413 91803.4082388982,766082.371949178 91844.8994939256,766049.248479154 91916.2325122999,766017.661202682 92040.55977237,766018.217601554 92046.3185660698,766011.399505634 92084.2580236218))","12806",
"MULTILINESTRING ((776627.224388227 78182.3359078757,776621.783997348 78143.5056499182))","12807",
"MULTILINESTRING ((761986.931956294 91795.7634819412,761985.81995732 91797.9696794035,761982.134860252 91810.5779651403,761978.45426386 91815.5551593109,761991.255849096 91823.0919521228,761989.695750608 91825.4091494224,761989.031951161 91827.402347161,761985.688954624 91829.8297441797,761970.542071621 91826.1766468662,761964.308878741 91823.2890495004))","12812",
"MULTILINESTRING ((764500.826272403 86308.7781602228,764461.950212381 86340.5054218857,764460.941313375 86341.8308203366,764470.849201731 86350.6824114267,764473.191999145 86350.7950115028))","12824",
"MULTILINESTRING ((763479.115244489 91459.4654864775,763480.562442829 91460.2407857503,763482.344040848 91460.4630856643,763503.056217983 91461.471086397,763521.652497419 91462.6989866985,763532.466587361 91442.1292103752,763542.606977205 91430.9620236105,763608.525803843 91440.7364186921,763615.660997227 91426.9125345929,763634.586975656 91435.4419268603,763634.809575392 91435.6633266354))","12833",
"MULTILINESTRING ((760624.695123145 91043.2665929056,760626.696420472 91048.5776872091,760634.90510665 91102.5666282235,760679.669057095 91105.3585290993,760687.465248683 91103.3719319858,760717.087916298 91100.6237376496,760720.429312725 91099.4088392894,760780.129448865 91077.9829682721,760796.390131337 91073.6782744728,760920.993793321 91082.4907757619,760978.015831586 91070.4663941102,761057.323547426 91034.5603408361,761083.281420582 91014.8846648915,761102.449401655 90990.2268938523,761114.612692081 90947.090742625,761103.703604692 90940.336349127))","12834",
"MULTILINESTRING ((763598.352110704 88082.8054247988,763519.598294133 88118.9323780702,763501.334313224 88130.3177639149,763316.31110909 88217.0575520633,763311.864214817 88207.4301623033,763299.839027597 88212.5046556545,763298.824327722 88223.8998429873,763267.413460584 88243.131619021,763055.785886763 88318.0150179218,763047.203395509 88325.9751083869,763017.127626965 88344.5398852691,762968.108077058 88388.3240326546,762961.644383491 88396.0629235464,762942.808502819 88411.9821043268,762821.129225211 88543.1176489156,762797.170649035 88572.080314843,762771.29217116 88644.7522323316,762738.987703963 88676.0373949632,762700.009446933 88674.9114928044,762660.372491228 88666.9235981687,762663.163989671 88649.5579175898,762655.369698178 88650.3230160652,762648.454804616 88663.7085006797,762582.099779104 88646.5161138788,762542.113721799 88661.3197940404,762491.635073044 88710.4068354204,762468.246897808 88721.4553211758,762432.042636565 88733.7205044695,762397.640474868 88728.4988072357,762312.481773508 88671.7023625442,762306.585980505 88665.8295685178,762298.00268912 88675.3382572661,762264.706025426 88679.0836502249,762242.65204862 88691.3476347542,762220.47037098 88714.7849069288,762187.363201821 88778.8197332986,762197.161490701 88782.701229866,762197.718989701 88787.1245250276,762189.030099407 88785.4597261093,762129.615355707 88889.4158060755,762075.902508376 88963.0542200279,762116.018968338 88916.0660754453,762105.980177258 88940.4004476837,762012.83807294 89018.3370534382,761976.739610635 89041.5436246439,761981.857904083 89052.0522134802,761927.618962479 89066.8473923913,761970.272916621 89054.4841097806,761966.048521848 89047.8427167495,761908.906381958 89079.5583767099,761899.095091163 89097.8101556855,761899.641088431 89122.1411288482,761906.303679397 89141.6172079107,761896.609889282 89150.5686971724))","12842",
"MULTILINESTRING ((731287.029443337 78307.939562014,731286.148245232 78296.1003752434,731289.823842497 78278.1817956504,731259.428576559 78277.3988941953,731251.636185318 78276.8389942271,731246.066390233 78293.9779745478,731214.114926461 78287.6595791905,731207.324834729 78278.9235884816,731198.72355929 78084.2542064653,731197.059062197 78070.6535216133,731198.309965652 78007.2797928868,731196.018375356 77914.0342974381,731195.615483519 77813.2712105771,731197.640984545 77770.2562590436,731205.772575963 77763.510867241,731204.219878707 77750.3456819073,731208.894173243 77753.4442787854,731202.77198009 77753.4414783208))","12852",
"MULTILINESTRING ((772018.004550574 88392.2921215863,771999.391968799 88416.5092933436))","12854",
"MULTILINESTRING ((769500.33518623 89756.8555987134,769500.119886386 89757.7456977151,769499.894686454 89759.7297955135,769499.334887099 89759.3956958308,769496.440090125 89761.0538937488,769495.991890585 89761.3874933441,769493.09759366 89762.4984918638,769488.530998377 89765.7040879309,769486.635700387 89766.4725869171))","12864",
"MULTILINESTRING ((767640.579926225 87466.2929562815,767634.785632059 87472.2635492025,767628.324938905 87475.0254455985,767618.198151098 87462.5185584891,767616.638952799 87462.6283582316))","12865",
"MULTILINESTRING ((734666.501229553 77489.2084400927,734709.929781714 77480.8193528292))","12867",
"MULTILINESTRING ((740721.502228855 70203.1316423322,740722.398627947 70201.9175437511,740732.415017141 70197.3881495371,740741.442707588 70190.753757599,740760.470884461 70217.8613287294,740754.558788648 70250.6046917532,740807.628523488 70335.2357011651,740816.878613364 70333.0331042974))","12868",
"MULTILINESTRING ((767225.53023128 88041.3183868147,767238.776815906 88050.9507773636,767245.343508153 88057.2603709873,767249.894000848 88083.7031422611,767367.686267204 88134.4394966827,767375.146358838 88136.5457950138,767396.523834771 88143.6383890744,767448.095479798 88125.4148136555,767475.497350739 88114.036128585,767529.644195006 88072.2502793378,767554.155169797 88053.1259025408,767630.366792119 87985.5763835901,767635.933285762 87988.4559809052,767644.843876223 87985.8060846038,767641.284580775 87978.3918924562,767667.804253981 87952.1884236273,767729.516588884 87922.6866615069,767780.779438031 87861.3177335571,767833.370384485 87814.1099901293,767844.839671743 87815.9973890519,767846.95506935 87816.8835882608))","12871",
"MULTILINESTRING ((773922.828919969 80812.857902505,773924.404920809 80782.2134362309))","12876",
"MULTILINESTRING ((772407.562740026 87076.6687006335,772430.154813019 87103.0123736845))","12879",
"MULTILINESTRING ((775355.682736237 79854.4467721797,775356.795135255 79851.6839752988,775340.99645475 79824.4584038038,775377.778519244 79768.9410676661,775378.339318743 79767.6152691645))","12881",
"MULTILINESTRING ((765486.959524526 90483.7254418195,765509.786298786 90491.2592355371))","12883",
"MULTILINESTRING ((778081.990821741 79171.2079464811,778076.077026048 79196.8735179262))","12884",
"MULTILINESTRING ((768331.734833521 89005.5281221859,768347.05981793 88991.7984386516,768523.658236382 88854.9781048189,768516.363245266 88844.8989152709,768525.389136042 88837.2816244502,768533.392826408 88847.0712143797,768620.705436509 88781.057694728,768662.575793484 88748.4477343059,768731.367522659 88696.4570975796,768735.336218558 88693.6128010587,768755.907597634 88675.1581231787,768762.308391097 88669.7046297449,768781.58227115 88656.3298461596,768868.117582233 88588.9700279013,768894.893354557 88569.9729511603,768934.633813592 88540.5511870327,768954.689293031 88524.4116065544,768947.333902 88514.0929172638,768955.025794297 88505.8258270365,768964.214283246 88517.0033155446,769113.262029952 88402.7416543694,769125.071917808 88393.6770653807,769148.580093602 88375.990186907,769256.989882642 88286.88659446,769247.08389431 88277.5879038215,769258.783382423 88266.9743165247,769268.46607091 88277.2686060502,769390.775945366 88180.876322829,769420.806215609 88145.0252649032,769532.857295888 88110.4971127141,769521.242113953 88049.5635787197,769483.935871549 87858.6664854323,769475.411982069 87845.1601995423,769474.078483965 87840.1811049019,769469.730189563 87830.6632149911,769475.211185571 87807.656640778,769472.980687542 87813.0762346224))","12886",
"MULTILINESTRING ((736444.419807008 72697.8670403532,736442.299509052 72702.1771353729,736441.850909456 72703.5026338563,736461.100985766 72733.7064014763,736461.547985095 72736.0334989048))","12888",
"MULTILINESTRING ((734977.33800266 73244.3002200072,734977.449802484 73244.9676192668,734977.66400218 73245.8486182967,734978.104300362 73263.7693982554,734976.096902452 73265.7524958846))","12889",
"MULTILINESTRING ((734997.819818174 72725.1215030612,734992.032624474 72727.22360028,734985.686031497 72727.9996989429,734972.544445969 72730.5343951361,734975.984939923 72760.5084618141,734991.343322232 72768.0337545185,735000.737699735 72930.8527728384,735090.522187214 73098.0168922383,735099.094476866 73108.6356809795,735099.532376252 73110.2952791524))","12897",
"MULTILINESTRING ((773976.007192728 78022.5008653806,773979.474791064 77996.6120940356,773986.940784055 77982.6785099169,774001.544470153 77957.7971383781,774031.627039591 77930.0399712554,774060.627614705 77847.3015642954,774084.234788786 77849.1965641479,774086.833690885 77788.7926305522,774086.50619257 77772.5272483494,774087.436196787 77708.4689186187,774088.674097775 77679.8153501183,774087.829706713 77581.5751576996,774088.85040754 77557.7900838454,774092.866504925 77536.1115079271,774100.561798483 77512.1074348588,774109.48699034 77492.5271570406,774114.730885698 77479.2600720062,774152.624849223 77419.4216406607,774155.521246457 77414.5547462279,774173.554224976 77436.6901234445))","12900",
"MULTILINESTRING ((772419.815126919 87073.3570053417,772432.27161084 87101.4647755681))","12904",
"MULTILINESTRING ((767045.608987585 92999.5573078411,767050.297684251 92979.5404303263))","12907",
"MULTILINESTRING ((764364.376381716 87934.6814548858,764364.712681394 87934.1253555296,764370.381174159 87945.7471432003,764400.346541642 87941.0075510369,764426.829209976 87970.5559207428,764427.381108147 87984.6042052928,764448.978884204 87987.0553044674,764436.034094449 88032.733752948,764437.790188474 88079.1995018398,764444.585681046 88078.758402919,764458.279066041 88078.3211045937,764492.696928637 88073.5842128168,764500.811917455 88099.5891848346,764497.563918248 88131.4478494055,764503.768506817 88184.4441914821,764537.595965479 88232.2545416874,764586.906508244 88267.3426072813,764615.414177095 88265.3748119378,764658.62443 88261.0788204458,764663.179523594 88277.1229031449,764664.846421174 88283.8743958436,764672.51831122 88301.3575772266,764656.133625912 88339.291533952,764655.320622439 88389.2980787181,764652.311425205 88395.4902716244,764662.861609788 88439.3002242187,764693.229871438 88496.4090638736,764701.902259239 88526.9394309539))","12925",
"MULTILINESTRING ((777929.797448784 77214.0851737531,777926.454252225 77216.5223708139,777934.804042336 77226.2638608482,777965.190206405 77261.0180253376,778003.282665674 77251.9690383485,778063.837395007 77309.8578800191,778072.848084108 77323.1421662354,778111.129637781 77379.9159073052,778158.304278405 77477.7477042254,778190.454337603 77548.4562295661,778194.788931922 77560.1894170964,778207.806915606 77586.3101896104,778207.694915719 77586.4214894805))","12926",
"MULTILINESTRING ((769200.30181486 82823.9697979779,769199.411515919 82822.9736989961,769199.634415705 82822.6418993815,769211.660502328 82825.0823977104,769231.615483618 82787.811240374,769269.82704379 82763.936369845,769297.350416112 82734.7454042603,769314.855900177 82696.36654793,769337.47977794 82666.2877829069,769375.58073836 82640.8640140663,769465.682040703 82629.0763346148,769493.868611526 82609.0678589838,769511.820295208 82569.4723040242,769509.941299445 82543.5839323235,769450.325576378 82404.9321797307,769453.35127594 82370.7493175625,769483.326645872 82338.0193560622,769486.782142583 82332.1578627968,769478.21075254 82325.2941696214,769475.428555876 82321.86307316))","12937",
"MULTILINESTRING ((772411.203313501 85031.4173463976,772440.36678049 85044.4906345582,772458.530961851 85030.3410516547,772460.315460137 85027.5787548409,772472.790947166 85019.8428644069,772471.682648757 85015.4097691776,772471.68244872 85015.8548686896,772472.456247742 85017.4037670552))","12938",
"MULTILINESTRING ((769436.977855182 87490.462986337,769454.138538355 87467.9028126502))","12951",
"MULTILINESTRING ((773024.620598417 80842.4553949918,773044.767975418 80854.3080836747))","12952",
"MULTILINESTRING ((765958.362626568 92499.0754614118,765960.25432402 92504.2785558446,765960.365023699 92506.4854534206,765941.675231396 92648.8557947301,765950.24872129 92656.4924870817,765964.931402418 92686.924954844,766010.871844723 92767.1614705052,766015.316238682 92779.9976567497,766122.438503646 92972.4431542067,766159.928956249 93041.2692816987,766164.477848961 93066.6050541737,766165.914645912 93082.870136366,766200.562994075 93235.1208716122,766175.704917077 93282.5633170444,766187.835003123 93289.534410455,766183.377507267 93297.8307009044,766171.35772085 93293.6228044545,766133.89535584 93361.5221261814,766172.600805964 93442.7468401186,766175.827301949 93447.9506346723,766208.896965476 93449.6308358194,766245.208225806 93447.3258416561,766257.565212034 93449.5496403248,766335.627526422 93448.2717488182,766461.111985302 93484.8556198673,766470.798274283 93489.0621161102,766558.868275172 93515.5528948986,766614.328515145 93505.9620105104,766653.673177608 93443.5994828353,766708.784914773 93469.1890596285,766709.673214019 93466.7509623964))","12967",
"MULTILINESTRING ((776606.11331341 81753.7386973824,776605.000415726 81740.6812115832))","12972",
"MULTILINESTRING ((720693.428426014 72937.7967205985,720730.609184589 72932.3885293884))","12975",
"MULTILINESTRING ((720690.527429501 72934.6993238866,720732.841082364 72928.4125340388))","12976",
"MULTILINESTRING ((720668.526241402 73112.6398213652,720733.435367667 73122.7331146574))","12979",
"MULTILINESTRING ((764033.24355533 86666.4990253741,764010.181178168 86695.5738913085))","12980",
"MULTILINESTRING ((764500.230516585 86964.1258373242,764534.077978256 86977.4140255892))","12981",
"MULTILINESTRING ((764093.020785091 87874.8936972576,764138.103332538 87909.5432629442))","12984",
"MULTILINESTRING ((775653.480776194 80277.3397338522,775651.029779495 80269.8177418852,775640.569191514 80262.5139490109,775607.386828229 80256.1899531657,775581.877355102 80267.5728385724,775577.749959401 80270.0001355681))","12987",
"MULTILINESTRING ((771781.615331505 84687.3274700623,771751.544564137 84690.2973642191,771755.100259023 84704.5708488515))","12990",
"MULTILINESTRING ((766106.349463963 93605.4412546866,766103.678566696 93607.6466520115,766104.678365738 93606.098553809,766101.332468779 93613.0695458181,766099.993469649 93619.7079383754,766100.437368547 93626.4588309704,766096.755872029 93632.650623808,766096.191872056 93639.1783165571))","12991",
"MULTILINESTRING ((772560.559227198 79375.0089661222,772529.165962892 79358.0594821246))","12994",
"MULTILINESTRING ((773567.248116986 78290.3522383274,773579.262901102 78324.0943023233))","12999",
"MULTILINESTRING ((773634.202330134 78458.1015599337,773662.942499901 78444.1794775538))","13000",
"MULTILINESTRING ((720682.850638765 72925.9545332077,720729.277986682 72924.1005386498))","13001",
"MULTILINESTRING ((775185.857850859 80701.1175306109,775183.551052773 80708.3168225315,775203.155730203 80722.4475086927,775186.2727446 80770.4795546619,775180.502348901 80794.3096280734,775217.019704908 80843.8899768184,775218.482101801 80861.9296571808,775218.932100857 80867.3303513017,775219.296398448 80891.3512250184,775219.314598315 80892.6826235611,775210.625106833 80904.1538102664,775210.228907286 80903.9098105019,775209.681607912 80903.5719108246,775205.228312998 80900.869313413))","13005",
