WKT,OBJECTID
"MULTILINESTRING ((774163.158520868 82437.6371414857,774163.250520761 82437.6991414241,774163.846519946 82439.6651393199,774163.974519772 82440.0621388948))","18904"
"MULTILINESTRING ((774161.466522981 82434.4861447965,774161.477522959 82434.5971446752,774163.49652029 82440.118138793,774163.476520298 82440.2591386372))","18905"
"MULTILINESTRING ((772052.556083469 96426.6331957592,772052.586883423 96426.7786956024,772054.574981 96429.4198928845,772054.763080793 96429.4267928942,772056.722778777 96428.0544945848,772058.234677227 96426.8849960134))","18907"
"MULTILINESTRING ((773690.691998347 82891.3013039817,773727.546056732 82907.3644894936))","18914"
"MULTILINESTRING ((768625.880157531 85019.0865348572,768627.437255521 85022.6275310964,768639.025443771 85011.5711442518,768602.546091046 84926.2555349898,768590.189005239 84918.6151423379,768584.63431338 84894.6055682789,768583.633314675 84892.2817707487,768583.639915671 84880.555083652,768611.260785775 84876.2561907435))","18924"
"MULTILINESTRING ((764017.383433874 96078.4156343007,763990.085661774 96101.5149062735))","18926"
"MULTILINESTRING ((771373.42775779 83753.3687608255,771371.423159983 83753.3676606561,771369.974861492 83754.2518595624,771356.831275521 83758.3378539548,771349.035283991 83758.9972525676,771337.227296436 83764.5221454922,771338.778593552 83778.4625303146,771335.878596046 83786.426321321,771282.858052536 83804.0974973954,771145.184099402 83847.94043751,771135.159810169 83850.2580341091,771110.65883692 83850.9080313078,771106.092241828 83851.9011298283,771097.847450291 83858.4237219617,771094.394553994 83859.3068206969,771074.6776748 83868.2569091844,771074.454875037 83868.3674090444,771074.788474599 83869.2526081017))","18927"
"MULTILINESTRING ((776168.627065288 76007.7920499588,776141.321692133 76043.8417083043,776133.296199831 76056.7830934937,776114.906018426 76074.6987724016,776093.187341273 76084.8695595157,776028.466210211 76104.6342326527,775988.139652888 76120.4336121013,775974.101366988 76135.2542947478,775959.947880744 76155.9355709686,775955.712184286 76169.212556096,775951.680685968 76202.7242190951,775945.095691103 76227.9532909508,775928.160707934 76248.0767675554,775904.42823194 76271.0806404583,775844.370993787 76315.7372867206,775808.365328628 76370.1526242449,775796.007442384 76366.6037271296,775793.446444694 76372.583620377,775804.690831739 76381.2137118412,775780.946353884 76427.3357594362,775760.20897294 76471.1411098065,775743.81938833 76501.6694750624,775727.186100946 76569.6986992489,775723.28800437 76579.869287799,775711.441911506 76651.1188088474,775681.603429 76836.1882038373,775675.356434067 76857.6525798339,775662.210346591 76879.88295443,775617.522792327 76916.5907106126,775569.067942807 76945.4423750854,775552.359461205 76943.2172761629,775538.667076458 76939.2224794237,775528.968685701 76955.5940607112,775537.094176005 76965.8915500982,775524.814085803 77010.0257007808,775516.563793647 77024.1817846128))","18928"
"MULTILINESTRING ((771431.160233266 86787.5695329423,771427.931937 86785.2494352116,771419.806346633 86776.7228438694,771380.858094184 86720.0607027269,771371.285505349 86712.0896106522,771401.636981227 86607.6656280145,771400.022191375 86511.3089337311,771398.914893125 86505.1138404408,771388.783405084 86495.0376506288,771401.382292262 86483.9822638697,771410.736382171 86482.3278665003,771446.836745971 86444.4037112995,771454.973237986 86433.8928235526,771457.680140565 86370.0683939013,771382.118630567 86285.6124801194,771377.781337196 86263.9205035736,771366.757049247 86264.0254025022,771362.646954714 86252.8489144237,771371.888844688 86251.8622163095,771340.841298126 86027.261660356,771338.165001467 86022.5029653518,771333.936806151 86021.832865722,771335.720404305 86020.61916721,771336.943703053 86019.6277684047))","18940"
"MULTILINESTRING ((734683.770750797 76959.8596347277,734674.973259536 76974.0123181932))","18948"
"MULTILINESTRING ((768457.076213332 91063.318267829,768455.402115172 91063.2791677219,768455.170515616 91061.1624700325,768454.972116521 91053.4697784845,768419.564255203 91055.0858735366,768419.594154915 91057.9353704025))","18953"
"MULTILINESTRING ((772961.573483605 79442.0798256675,772960.245985128 79441.1900265345,772959.050286617 79438.9704288705,772948.808998781 79427.1328410067))","18957"
"MULTILINESTRING ((770168.535895733 85858.6669442284,770177.457885277 85866.5952362839))","18966"
"MULTILINESTRING ((770651.483603021 85442.070243777,770651.70680285 85441.1853447689,770651.929902655 85440.6323453947,770664.632789829 85428.1383602205,770685.466868342 85412.8831787791,770714.186034912 85436.1320557046,770722.981724957 85439.8985523237,770767.629974653 85456.6293377877,770776.084964074 85472.0118216135,770777.497357208 85533.7445538993,770782.495149695 85557.4224283114,770781.7153505 85557.9751276362,770782.717349368 85558.4182272355))","18987"
"MULTILINESTRING ((764806.371331626 94273.482899415,764821.737815106 94269.403205317,764838.110997308 94267.1971092431,764845.024692056 94241.4328383088,764852.832484125 94234.2421469566,764923.65990775 94218.0217713083,765004.369114581 94266.9753246333,765045.83825909 94375.7408083774,765060.87884305 94370.335015715,765065.775837163 94375.8645100594,765065.663537246 94376.309409557))","18996"
"MULTILINESTRING ((770052.673935068 94690.5144200267,770051.441736409 94690.6250197924,770050.779637226 94689.6323208248,770046.553143496 94671.8163400416,770038.883953795 94651.235061983,770012.272483073 94650.0033608916,769997.235499648 94648.9924606215,769958.970447871 94580.5990323694,769934.615179691 94524.8256915107,769926.085794798 94462.0983597594,769948.952676196 94391.7499392767,770041.8187878 94245.8900083059,770067.770361011 94227.8705305153,770082.032346616 94214.3874466591,770072.799557922 94201.4366600632,770072.799657935 94201.3253601841))","18997"
"MULTILINESTRING ((770248.320450265 94368.3763924768,770234.400566535 94357.3050033809,770224.379876827 94364.8189941935,770113.533108972 94248.4760120377,770083.265245379 94213.1641481167,770072.025058814 94200.9910604811,770071.576959284 94201.2134601957))","18998"
"MULTILINESTRING ((774148.844334079 82466.1731089874,774148.831434089 82466.2518089005,774150.07753253 82468.5731064606,774150.445532045 82469.580105389,774150.374532099 82469.8392050979),(774150.374532099 82469.8392050979,774149.910632568 82470.2706045851,774150.063232371 82470.646704186,774150.414531978 82470.7421041108,774151.2395311 82470.4781044719,774151.478330869 82470.1476048527,774151.396831001 82469.6281054159,774150.374532099 82469.8392050979),(774162.456417014 82492.1889816189,774161.40721812 82492.6501810233,774160.594519249 82489.8061840739,774161.108118743 82489.1625848231,774152.31652992 82470.5481044845,774151.310531222 82468.137107044,774150.391532192 82468.5231065426,774150.280532325 82468.3981066711,774150.025532589 82468.5681064626,774150.07753253 82468.5731064606),(774150.79773157 82470.6195042773,774150.772531604 82470.5491043531,774150.717431679 82470.3955045167))","19003"
"MULTILINESTRING ((772975.349025153 84702.3888560665,772988.931208951 84718.2165398662,773000.394395033 84734.3767231179,772990.70050497 84742.0029139175,772983.565012199 84748.6385060209,772988.025807121 84750.9686038475))","19012"
"MULTILINESTRING ((766476.244710042 94129.3985105558,766472.541213647 94134.4724046241))","19019"
"MULTILINESTRING ((766432.908558764 94117.0039202712,766418.743474735 94112.4418240114))","19020"
"MULTILINESTRING ((766430.774363825 94087.1981529427,766421.118475058 94080.2895596814))","19021"
"MULTILINESTRING ((766430.922763696 94086.828153365,766421.209174978 94080.069559932))","19022"
"MULTILINESTRING ((766421.456574776 94079.3297607714,766431.128963506 94086.4082538469))","19023"
"MULTILINESTRING ((761282.789313502 89737.5461946684,761296.935298019 89736.5172970478))","19030"
"MULTILINESTRING ((761281.989414478 89736.456395803,761296.508498578 89735.4865981497))","19031"
"MULTILINESTRING ((775283.856355514 76924.2701750724,775297.436440345 76928.7006713264,775303.34073317 76937.7729618731,775347.889484887 76934.1520694601,775398.671729467 76934.7257729607,775435.308489006 76941.0506690149,775454.575267871 76942.6095688759,775474.065646437 76944.835968022,775483.19493643 76945.499168039,775513.932802537 76950.170465424,775527.848486922 76955.5934606201,775533.419780578 76958.9161574347,775524.814085803 77010.0257007808,775516.563793647 77024.1817846128,775526.811282114 77028.6103805982,775611.288582023 77126.6823801094,775624.426166744 77138.4106683416,775632.319656082 77163.6380413668))","19033"
"MULTILINESTRING ((771040.827266856 80840.8283313347,771040.941267026 80837.2862352335,771041.531172386 80765.1520144945,771082.531929414 80742.7150425441,771205.474194196 80751.9712426129,771243.4354508 80774.6642208569,771284.067103144 80813.4102816973,771317.009564289 80847.3951471274,771352.710117367 80941.9989462343,771340.89872984 80947.305939423,771345.457223895 80958.8162271666,771356.1568125 80955.1684320635,771405.771849822 81056.196925281,771407.320546585 81074.6789051174))","19035"
"MULTILINESTRING ((769816.320796531 84518.0542877266,769824.006988419 84514.5184922714,769831.025181065 84510.6503971235,769830.475182698 84498.5914103327,769887.415625297 84440.7640787697,769943.679267345 84398.0926304827,769984.114324484 84381.6315520312,769992.473116298 84370.3519651438,769998.934609583 84366.1516703121,769997.044312096 84360.9510758671,769994.482314807 84362.0558744346,769991.145519092 84354.6417822992,770004.735604744 84348.4541902616))","19039"
"MULTILINESTRING ((765997.559548916 91771.2880674886,766018.61622699 91757.9110841263,766014.272132584 91748.7285938621,766004.70494454 91732.5698108225,766005.377443871 91731.7913117412))","19041"
"MULTILINESTRING ((716192.842444802 75008.2236530787,716174.149067207 74990.0748722651,716198.534541726 74962.3306054592,716121.304033673 74895.8343751268,716108.393949136 74883.4447882171,716111.064246382 74879.9046924187,716111.84774546 74880.4519918558))","19042"
"MULTILINESTRING ((764977.678929588 91095.7390214609,764970.301834462 91132.0182807796))","19043"
"MULTILINESTRING ((766451.322849083 94001.3455494838,766453.310147131 93998.8061524649))","19048"
"MULTILINESTRING ((766445.080756297 93997.3963532687,766447.430853989 93994.3970567915))","19049"
"MULTILINESTRING ((761281.305015313 89735.5165967815,761296.117299076 89734.74019894))","19055"
"MULTILINESTRING ((737697.445205366 75439.9110659846,737695.057408729 75430.6595761543,737679.629029759 75379.9616316993,737676.40423379 75374.1710379337,737665.820945833 75370.8637408321))","19067"
"MULTILINESTRING ((775594.5433191 81723.5176450333,775628.625081893 81723.8704475216))","19069"
"MULTILINESTRING ((739022.952934633 72700.9635278248,739024.072933377 72701.0754277832,739021.954635792 72700.2957284973,739013.485544496 72710.0267169951,739020.498335738 72722.8609031716,738964.750484558 72901.0271999218,738953.171397949 72894.2729066092,738943.021706847 72926.5689697605,738940.235709093 72938.0730566972))","19073"
"MULTILINESTRING ((776792.362342185 76544.3652134381,776785.672748591 76555.20230104))","19088"
"MULTILINESTRING ((777146.761374848 76313.7653944384,777143.522777039 76330.2516761458))","19089"
