WKT,OBJECTID
"MULTILINESTRING ((774465.468314727 85658.0111365104,774465.701215806 85642.636353389,774469.937712351 85629.1368685583,774474.154022592 85457.8822567059,774472.823524706 85450.2496649597,774473.727924954 85435.9786806865,774477.305824228 85399.2498212683,774492.279014871 85318.4982111082,774494.631713748 85301.7893296313,774496.906719223 85209.7449307517,774488.567630655 85182.8572595103))","23963"
"MULTILINESTRING ((725181.446479272 67372.0158126659,725180.550680284 67371.9042127294,725180.111880753 67372.2377123237,725179.7757811 67372.6826117996,725170.311991564 67374.7834087811,725144.814619886 67378.6395026774,725132.687936159 67339.9313454123,724821.598481967 67383.7189746153,724686.532031628 67409.9867357066,724674.174445195 67414.1908301195,724668.940251257 67411.4170328803,724670.387049703 67410.4256340961))","23964"
"MULTILINESTRING ((766395.418894679 87437.5792795775,766394.792196678 87422.5022961363))","23966"
"MULTILINESTRING ((766392.945097223 87439.5588771817,766391.96389956 87425.06179307))","23968"
"MULTILINESTRING ((773408.158673798 84451.1684688938,773385.45189932 84442.8652760542))","23970"
"MULTILINESTRING ((734297.152445512 73462.6727249516,734303.172938947 73460.5800277424,734306.065935692 73460.9150275823,734307.51273411 73460.4705281861,734318.199722379 73457.8237319464))","23971"
"MULTILINESTRING ((774062.777275231 81907.8695137973,774069.322965538 81938.0757812338))","23977"
"MULTILINESTRING ((775074.513812148 83774.7148535065,775093.007692178 83772.1844578629,775092.688495066 83742.5285903351,775094.247793411 83741.9823910673))","23983"
"MULTILINESTRING ((735180.270587934 73086.6612115971,735181.493786683 73085.1135134207,735178.04059051 73085.4458127926))","23986"
"MULTILINESTRING ((734677.438794783 75153.7737583072,734678.5591936 75152.8934593776,734680.892991127 75151.1238615363,734682.012889867 75151.2354614953,734692.362478266 75151.9076615211,734692.586778058 75151.3513621603))","23987"
"MULTILINESTRING ((739736.62096681 72345.5471778292,739736.733366783 72344.221479318,739782.15151527 72357.517267831,739786.71020933 72369.2378550768,739785.04561059 72377.2009460581,739784.036411508 72379.9727428872,739783.47551197 72382.1790403811,739762.10503612 72377.0798444943,739757.54234138 72374.6489468721))","24000"
"MULTILINESTRING ((770217.401797564 86374.8768809852,770210.157805437 86375.5402796275))","24001"
"MULTILINESTRING ((724885.630391855 67648.2998811567,724887.300189851 67650.1730791646,724889.295687322 67654.3825745631,724880.052596928 67665.3272615986,724878.04489892 67669.0902572233,724875.598701471 67671.8518539459))","24014"
"MULTILINESTRING ((732858.740052628 78739.5607985796,732896.046111617 78730.7241113794))","24015"
"MULTILINESTRING ((766473.968719369 87312.2546244919,766484.968609451 87287.4596527667,766486.848709161 87267.0338754359,766486.791009526 87263.5644792537))","24020"
"MULTILINESTRING ((766474.521218754 87312.3646244182,766485.298509078 87287.5796526645,766487.261008678 87267.4037750635,766487.137309141 87263.6144792279))","24021"
"MULTILINESTRING ((762933.303173609 87717.5797702379,762931.297676026 87715.1491727496,762957.489950192 87680.8745128618))","24029"
"MULTILINESTRING ((773878.059965066 85556.9910963704,773904.812339838 85510.8726492742))","24043"
"MULTILINESTRING ((721447.904591592 71348.5898686676,721447.775688647 71391.9463197292))","24047"
"MULTILINESTRING ((731736.969284932 79023.0790935817,731735.952184513 79043.2054709035))","24049"
"MULTILINESTRING ((775578.061140832 79286.5720125401,775540.639080525 79300.0535946767))","24054"
"MULTILINESTRING ((775573.276546708 79278.6036208701,775539.633381996 79295.5090995708))","24055"
"MULTILINESTRING ((734491.452237273 76016.1963777543,734490.566738436 76013.8782802857,734490.567238538 76012.5432817814,734468.543666568 75967.0785310703,734450.16418649 75974.9229208878,734448.493488323 75975.3672202626))","24058"
"MULTILINESTRING ((774606.478839139 77601.8784777797,774625.743319116 77589.712892679,774635.5383074 77602.3295796573))","24059"
"MULTILINESTRING ((766011.399505634 92084.2580236218,766010.054405601 92101.0686049637,765998.417110438 92189.4578064488,766013.564693556 92192.2303047549,766012.326994081 92201.520794399,765997.07521087 92201.0663935277,765970.670622156 92397.9738740125,765970.429719929 92425.6248434985,765967.188421756 92444.8728219803,765961.148024066 92492.8830684925,765958.362626568 92499.0754614118))","24062"
"MULTILINESTRING ((767112.449952636 91462.524607736,767112.696052097 91465.5181044592,767114.037450361 91468.4778013171,767121.895538877 91500.3865668602,767153.48679716 91579.0472830132,767143.961805399 91603.7328549586,767125.388022095 91644.8492079857,767128.483612853 91710.0161364526,767131.023607281 91741.0518024812,767147.692387306 91759.7842833354,767184.99864263 91801.3768408521,767208.017408029 91905.3581283402,767258.235447434 91966.3711656239,767300.992095763 92019.1820112783))","24063"
"MULTILINESTRING ((763314.182624423 91475.850353685,763315.408023143 91475.0766546477,763317.746520562 91475.1886547327,763334.786202076 91472.3225594176))","24074"
"MULTILINESTRING ((774627.613622587 81147.6891945388,774617.468432525 81161.1853788969,774591.529461266 81156.0800823152,774611.713143738 81102.4272428059,774617.750941118 81055.0816951967,774637.71072244 81018.0369374661,774659.780801552 80979.8806811284,774674.269487295 80961.295902708,774697.598469091 80874.6878995667,774703.399864846 80849.7924273345,774715.566356318 80793.047190532,774720.040453259 80771.257614783,774747.280133526 80651.78744797,774762.765017792 80637.8582645259,774755.756127124 80617.7130860147))","24076"
"MULTILINESTRING ((772972.433292458 79191.0909018242,772973.092991657 79192.0707008048,772977.702386125 79198.0994945726,772981.347081763 79202.7284897971,772984.430978028 79207.1575851936))","24077"
"MULTILINESTRING ((767026.697326771 91685.3967544504,767009.336247305 91668.8992710726,766973.673782825 91709.2603233959,767036.339509281 91762.4032704532,767060.07578589 91732.7634052484))","24080"
"MULTILINESTRING ((773598.389154021 81054.4127105218,773606.840542857 81077.53958587))","24085"
"MULTILINESTRING ((769711.249369738 85006.7576414436,769716.14946438 85006.649841983,769716.483263969 85007.2031414038,769716.472362328 85026.4527202371,769718.361059578 85034.4191116418,769728.936647389 85041.5055047559,769740.943931194 85077.0244667355,769751.859119438 85074.7074702201,769756.085213939 85084.8877593894,769762.320306911 85087.2145573666,769831.721834079 85050.4142037816,769844.522119047 85062.2588918599,769850.309112104 85069.342484568,769839.614723319 85075.0891773321,769839.391523487 85075.9740763397,769839.501923216 85077.7442744024))","24088"
"MULTILINESTRING ((770439.630980006 84917.3397022219,770446.991373496 84899.3111226668,770438.085583775 84893.110828716,770433.525489649 84882.819539636,770449.255276549 84834.8148937409,770485.047944051 84756.9513823799,770505.777823752 84729.0843147804,770516.477713366 84713.6021327102,770514.251315934 84712.0520342223,770513.582716611 84712.7154334385,770514.919115148 84712.7162335498))","24089"
"MULTILINESTRING ((770745.470249565 84867.5086832239,770731.780665817 84852.6763983467,770721.862675705 84863.955085102,770712.173286232 84864.834583305,770529.391398511 84722.01742457,770528.945598943 84722.6809238023,770529.279498548 84723.0130234665))","24090"
"MULTILINESTRING ((770949.82119148 85268.5537601362,770928.545914486 85271.7500547934,770901.370743918 85275.2674485868,770885.108961563 85277.029345252,770884.226163127 85270.0648528289))","24091"
"MULTILINESTRING ((767415.220596449 87200.9887288182,767394.960819439 87192.1215368245,767367.68265027 87181.5997460409,767292.199836473 87142.2861827787,767263.691467549 87144.4766778893,767258.900372413 87149.0082724837,767244.976986799 87159.18166007,767126.248614855 87184.2237221802,767057.398886201 87232.3095632367,767012.521735769 87228.4076636375,766998.156851634 87227.1846637361,766992.474758233 87222.9807678723,766961.188792966 87218.2058704166,766826.962634773 87280.9604896295,766812.68734857 87302.4185647519,766809.904351413 87304.8463618352,766809.016452212 87306.839459563,766760.975998368 87382.2637722987,766514.946464661 87424.3776045122,766507.038073021 87428.0263998056,766482.544199777 87429.4495961082,766400.352789505 87434.8174830505,766379.179410858 87456.494057325,766355.907636179 87459.0213525172,766351.333841196 87459.0186521215,766347.553045288 87459.6841510599,766336.867357322 87456.1358540409,766336.306357785 87457.9065520414,766332.405362182 87456.5783531665,766319.709875979 87458.1195503631))","24103"
